hazard_id,HAZARD_BEGIN_DATE,HAZARD_END_DATE,HAZARD_TYPE_COMBO,NAME,POSTAL_CODE,FIPS_CODE,INJURIES,FATALITIES,PROPERTY_DAMAGE,CROP_DAMAGE,REMARKS,
9420472,8/10/2012,8/10/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420473,8/10/2012,8/10/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420580,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Burke                                                                                                                                                 ,GA,"13033",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420816,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420823,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Screven                                                                                                                                               ,GA,"13251",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420826,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Screven                                                                                                                                               ,GA,"13251",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420878,7/29/2012,7/29/2012,Severe Storm/Thunder Storm - Wind,Bryan                                                                                                                                                 ,GA,"13029",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9420883,7/29/2012,7/29/2012,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9421918,8/11/2012,8/11/2012,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9421925,8/17/2012,8/17/2012,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9422267,5/1/2012,5/1/2012,Lightning,Camden                                                                                                                                                ,GA,"13039",0.00,0.00,3000.00,0.00,"NCDC_Lightning",
9423843,2/18/2012,2/18/2012,Severe Storm/Thunder Storm - Wind,Worth                                                                                                                                                 ,GA,"13321",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9423849,2/18/2012,2/18/2012,Severe Storm/Thunder Storm - Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9423851,2/18/2012,2/18/2012,Severe Storm/Thunder Storm - Wind,Decatur                                                                                                                                               ,GA,"13087",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9424647,1/21/2012,1/21/2012,Severe Storm/Thunder Storm - Wind,Harris                                                                                                                                                ,GA,"13145",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9424651,1/21/2012,1/21/2012,Flooding,Fulton                                                                                                                                                ,GA,"13121",0.00,0.00,3000.00,0.00,"NCDC_Flash Flood",
9424655,1/23/2012,1/23/2012,Flooding,Dade                                                                                                                                                  ,GA,"13083",0.00,0.00,3000.00,0.00,"NCDC_Flash Flood",
9424656,1/26/2012,1/26/2012,Flooding,Dade                                                                                                                                                  ,GA,"13083",0.00,0.00,3000.00,0.00,"NCDC_Flash Flood",
9424717,1/12/2012,1/12/2012,Wind,Dawson                                                                                                                                                ,GA,"13085",0.00,0.00,3000.00,0.00,"NCDC_Strong Wind",
9424718,1/12/2012,1/12/2012,Wind,Lumpkin                                                                                                                                               ,GA,"13187",0.00,0.00,3000.00,0.00,"NCDC_Strong Wind",
9424721,1/12/2012,1/12/2012,Wind,Forsyth                                                                                                                                               ,GA,"13117",0.00,0.00,3000.00,0.00,"NCDC_Strong Wind",
9424771,3/3/2012,3/3/2012,Severe Storm/Thunder Storm - Wind,Irwin                                                                                                                                                 ,GA,"13155",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9424772,3/3/2012,3/3/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9424776,3/3/2012,3/3/2012,Severe Storm/Thunder Storm - Wind,Mitchell                                                                                                                                              ,GA,"13205",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9425602,3/3/2012,3/3/2012,Severe Storm/Thunder Storm - Wind,DeKalb                                                                                                                                                ,GA,"13089",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9425604,3/2/2012,3/2/2012,Severe Storm/Thunder Storm - Wind,Fulton                                                                                                                                                ,GA,"13121",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9426156,4/5/2012,4/5/2012,Severe Storm/Thunder Storm - Wind,Laurens                                                                                                                                               ,GA,"13175",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9426598,5/22/2012,5/22/2012,Severe Storm/Thunder Storm - Wind,Mitchell                                                                                                                                              ,GA,"13205",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9426599,5/22/2012,5/22/2012,Severe Storm/Thunder Storm - Wind,Berrien                                                                                                                                               ,GA,"13019",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427120,6/5/2012,6/5/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427123,6/5/2012,6/5/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427124,6/5/2012,6/5/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427125,6/5/2012,6/5/2012,Severe Storm/Thunder Storm - Wind,Lowndes                                                                                                                                               ,GA,"13185",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427127,6/5/2012,6/5/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427927,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Lee                                                                                                                                                   ,GA,"13177",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427929,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Tift                                                                                                                                                  ,GA,"13277",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427937,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Lowndes                                                                                                                                               ,GA,"13185",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427939,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Lowndes                                                                                                                                               ,GA,"13185",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9427942,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Brooks                                                                                                                                                ,GA,"13027",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9429259,6/10/2012,6/10/2012,Severe Storm/Thunder Storm - Wind,Greene                                                                                                                                                ,GA,"13133",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9429387,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Thomas                                                                                                                                                ,GA,"13275",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9429478,7/25/2012,7/25/2012,Severe Storm/Thunder Storm - Wind,Lee                                                                                                                                                   ,GA,"13177",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9429708,8/16/2012,8/16/2012,Severe Storm/Thunder Storm - Wind,Worth                                                                                                                                                 ,GA,"13321",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431081,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Rockdale                                                                                                                                              ,GA,"13247",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431082,7/4/2012,7/4/2012,Severe Storm/Thunder Storm - Wind,Polk                                                                                                                                                  ,GA,"13233",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431316,7/3/2012,7/3/2012,Severe Storm/Thunder Storm - Wind,Macon                                                                                                                                                 ,GA,"13193",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431329,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Marion                                                                                                                                                ,GA,"13197",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431336,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Bartow                                                                                                                                                ,GA,"13015",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431338,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Monroe                                                                                                                                                ,GA,"13207",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431339,7/5/2012,7/5/2012,Severe Storm/Thunder Storm - Wind,Lamar                                                                                                                                                 ,GA,"13171",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9431349,7/10/2012,7/10/2012,Severe Storm/Thunder Storm - Wind,DeKalb                                                                                                                                                ,GA,"13089",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9432101,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9432103,7/1/2012,7/1/2012,Severe Storm/Thunder Storm - Wind,Liberty                                                                                                                                               ,GA,"13179",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9432350,8/1/2012,8/1/2012,Severe Storm/Thunder Storm - Wind,Chattooga                                                                                                                                             ,GA,"13055",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9433610,8/14/2012,8/14/2012,Severe Storm/Thunder Storm - Wind,Taylor                                                                                                                                                ,GA,"13269",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9433611,8/14/2012,8/14/2012,Severe Storm/Thunder Storm - Wind,Bibb                                                                                                                                                  ,GA,"13021",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9433618,8/14/2012,8/14/2012,Severe Storm/Thunder Storm - Wind,Wilkinson                                                                                                                                             ,GA,"13319",0.00,0.00,3000.00,0.00,"NCDC_Thunderstorm Wind",
9308996,6/18/2011,6/18/2011,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,2750.00,0.00,,
9238158,6/20/2010,6/20/2010,Severe Storm/Thunder Storm - Wind,Berrien                                                                                                                                               ,GA,"13019",0.00,0.00,2500.00,0.00,,
9238159,6/20/2010,6/20/2010,Severe Storm/Thunder Storm - Wind,Tift                                                                                                                                                  ,GA,"13277",0.00,0.00,2500.00,0.00,,
9241531,10/21/2010,10/21/2010,Wildfire,Lumpkin                                                                                                                                               ,GA,"13187",0.00,0.00,2500.00,0.00,,
9250066,7/31/2010,7/31/2010,Severe Storm/Thunder Storm - Wind,Tattnall                                                                                                                                              ,GA,"13267",0.00,0.00,2500.00,0.00,,
9250714,7/31/2010,7/31/2010,Severe Storm/Thunder Storm - Wind,Grady                                                                                                                                                 ,GA,"13131",0.00,0.00,2500.00,0.00,,
9309035,7/9/2011,7/9/2011,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,2500.00,0.00,,
9313030,2/28/2011,2/28/2011,Severe Storm/Thunder Storm - Wind,Floyd                                                                                                                                                 ,GA,"13115",0.00,0.00,2500.00,0.00,,
9325893,8/6/2011,8/6/2011,Severe Storm/Thunder Storm - Wind,Chatham                                                                                                                                               ,GA,"13051",0.00,0.00,2500.00,0.00,,
9418622,6/22/2012,6/28/2012,Wildfire,Murray                                                                                                                                                ,GA,"13213",0.00,0.00,2500.00,0.00,"NCDC_Wildfire",
9418632,7/3/2012,7/3/2012,Severe Storm/Thunder Storm - Wind,Monroe                                                                                                                                                ,GA,"13207",0.00,0.00,2500.00,0.00,"NCDC_Thunderstorm Wind",
